Date [dd.mm.yyyy],Time [hh:mm:ss],,Date / Time,Flow [kg/h],cum. mass [t],Density [kg/dm³],Temperature [°C],el. conductivity [mS/cm],BHP 201 [bar] at 550 m,BHP 201 [bar] at 630 m
10/12/2015,16:45:00,0:05:00,12/10/2015 16:45,2.64,4.7,1.0947,12.26,0,62.91,71.5
10/12/2015,16:50:00,0:05:00,12/10/2015 16:50,132.17,4.71,0.281,12.07,0,61.26,63.47
10/12/2015,16:55:00,0:05:00,12/10/2015 16:55,597.58,4.77,0.5703,11.83,0,61.82,66.3
10/12/2015,17:00:00,0:05:00,12/10/2015 17:00,"1,930.52",4.93,1.1696,12.03,0,61.88,71.06
10/12/2015,17:05:00,0:05:00,12/10/2015 17:05,"1,831.07",5.08,1.1703,10.96,0,62.02,71.21
10/12/2015,17:10:00,0:05:00,12/10/2015 17:10,"1,883.48",5.24,1.1704,9.92,0,62.07,71.26
10/12/2015,17:15:00,0:05:00,12/10/2015 17:15,"1,904.19",5.39,1.1704,9.57,0,62.17,71.35
10/12/2015,17:20:00,0:05:00,12/10/2015 17:20,"1,872.58",5.55,1.1705,9.41,0,62.2,71.38
10/12/2015,17:25:00,0:05:00,12/10/2015 17:25,"2,610.40",5.77,1.1704,9.28,0,62.25,71.43
10/12/2015,17:30:00,0:05:00,12/10/2015 17:30,"2,906.08",6.01,1.1704,9.1,0,62.43,71.61
10/12/2015,17:35:00,0:05:00,12/10/2015 17:35,"2,885.18",6.25,1.1704,9.03,248.61,62.63,71.81
10/12/2015,17:40:00,0:05:00,12/10/2015 17:40,"2,882.81",6.49,1.1704,8.99,248.95,62.09,71.27
10/12/2015,17:45:00,0:05:00,12/10/2015 17:45,"2,903.63",6.73,1.1704,8.96,249.24,61.17,70.36
10/12/2015,17:50:00,0:05:00,12/10/2015 17:50,"2,888.13",6.97,1.1704,8.94,249.42,59.97,69.15
10/12/2015,17:55:00,0:05:00,12/10/2015 17:55,"2,888.50",7.21,1.1704,8.9,249.61,58.85,68.04
10/12/2015,18:00:00,0:05:00,12/10/2015 18:00,"2,889.21",7.45,1.1705,8.87,249.82,58.82,68.01
10/12/2015,18:05:00,0:05:00,12/10/2015 18:05,"2,912.92",7.7,1.1705,8.84,249.99,59.08,68.26
10/12/2015,18:10:00,0:05:00,12/10/2015 18:10,"2,987.63",7.94,1.1705,8.81,250.18,59.12,68.3
10/12/2015,18:15:00,0:05:00,12/10/2015 18:15,"3,009.72",8.2,1.1705,8.78,250.36,59.1,68.29
10/12/2015,18:20:00,0:05:00,12/10/2015 18:20,"3,015.62",8.45,1.1705,8.75,250.5,59.09,68.27
10/12/2015,18:25:00,0:05:00,12/10/2015 18:25,"3,018.38",8.7,1.1705,8.73,250.6,59.04,68.23
10/12/2015,18:30:00,0:05:00,12/10/2015 18:30,"3,051.40",8.95,1.1706,8.71,249.91,58.97,68.16
10/12/2015,18:35:00,0:05:00,12/10/2015 18:35,"3,046.44",9.21,1.1705,8.69,250.87,58.9,68.08
10/12/2015,18:40:00,0:05:00,12/10/2015 18:40,"3,044.76",9.46,1.1706,8.67,250.99,58.81,68
10/12/2015,18:45:00,0:05:00,12/10/2015 18:45,"3,034.81",9.71,1.1706,8.65,251.08,58.7,67.89
10/12/2015,18:50:00,0:05:00,12/10/2015 18:50,"3,028.89",9.96,1.1706,8.63,251.21,58.6,67.78
10/12/2015,18:55:00,0:05:00,12/10/2015 18:55,"3,025.13",10.22,1.1707,8.61,251.29,58.5,67.69
10/12/2015,19:00:00,0:05:00,12/10/2015 19:00,"3,023.23",10.47,1.1706,8.59,251.41,58.46,67.64
10/12/2015,19:05:00,0:05:00,12/10/2015 19:05,"3,023.13",10.72,1.1707,8.56,251.48,58.48,67.67
10/12/2015,19:10:00,0:05:00,12/10/2015 19:10,"3,022.67",10.97,1.1707,8.55,251.55,58.54,67.73
10/12/2015,19:15:00,0:05:00,12/10/2015 19:15,"3,006.79",11.21,1.1638,8.53,251.61,58.61,67.74
10/12/2015,19:20:00,0:05:00,12/10/2015 19:20,"3,020.31",11.46,1.1707,8.52,251.71,58.67,67.85
10/12/2015,19:25:00,0:05:00,12/10/2015 19:25,"3,019.09",11.71,1.1707,8.5,251.81,58.71,67.89
10/12/2015,19:30:00,0:05:00,12/10/2015 19:30,"3,018.13",11.97,1.1707,8.49,251.82,58.74,67.93
10/12/2015,19:35:00,0:05:00,12/10/2015 19:35,"3,017.77",12.22,1.1708,8.48,251.88,58.78,67.97
10/12/2015,19:40:00,0:05:00,12/10/2015 19:40,"3,016.35",12.47,1.1708,8.46,251.97,58.81,68
10/12/2015,19:45:00,0:05:00,12/10/2015 19:45,"3,015.20",12.72,1.1708,8.46,252,58.83,68.02
10/12/2015,19:50:00,0:05:00,12/10/2015 19:50,"3,013.74",12.97,1.1708,8.44,252.02,58.86,68.05
10/12/2015,19:55:00,0:05:00,12/10/2015 19:55,"3,013.19",13.22,1.1708,8.43,252.02,58.89,68.08
10/12/2015,20:00:00,0:05:00,12/10/2015 20:00,"3,012.25",13.47,1.1708,8.41,252.05,58.93,68.12
10/12/2015,20:05:00,0:05:00,12/10/2015 20:05,"3,010.11",13.72,1.1708,8.4,252.19,58.96,68.15
10/12/2015,20:10:00,0:05:00,12/10/2015 20:10,"3,011.88",13.97,1.1708,8.39,252.23,59,68.19
10/12/2015,20:15:00,0:05:00,12/10/2015 20:15,"3,013.21",14.22,1.1708,8.38,252.23,59.03,68.22
10/12/2015,20:20:00,0:05:00,12/10/2015 20:20,"3,013.15",14.47,1.1708,8.37,252.24,59.07,68.25
10/12/2015,20:25:00,0:05:00,12/10/2015 20:25,"3,013.63",14.73,1.1708,8.35,252.29,59.1,68.29
10/12/2015,20:30:00,0:05:00,12/10/2015 20:30,"3,014.83",14.98,1.1708,8.35,252.35,59.13,68.32
10/12/2015,20:35:00,0:05:00,12/10/2015 20:35,"3,011.65",15.23,1.1708,8.33,252.41,59.15,68.34
10/12/2015,20:40:00,0:05:00,12/10/2015 20:40,"3,012.10",15.48,1.1709,8.31,252.44,59.18,68.37
10/12/2015,20:45:00,0:05:00,12/10/2015 20:45,"3,012.33",15.73,1.1709,8.3,252.44,59.22,68.41
10/12/2015,20:50:00,0:05:00,12/10/2015 20:50,"3,007.57",15.98,1.1709,8.3,252.42,59.22,68.41
10/12/2015,20:55:00,0:05:00,12/10/2015 20:55,"3,005.97",16.23,1.1709,8.28,252.42,59.26,68.45
10/12/2015,21:00:00,0:05:00,12/10/2015 21:00,"3,004.25",16.48,1.1709,8.27,252.44,59.26,68.45
10/12/2015,21:05:00,0:05:00,12/10/2015 21:05,"2,999.47",16.73,1.1709,8.25,252.42,59.29,68.48
10/12/2015,21:10:00,0:05:00,12/10/2015 21:10,"2,998.12",16.98,1.1709,8.24,252.45,59.3,68.49
10/12/2015,21:15:00,0:05:00,12/10/2015 21:15,"3,000.45",17.23,1.1709,8.22,252.53,59.32,68.51
10/12/2015,21:20:00,0:05:00,12/10/2015 21:20,"3,003.19",17.48,1.1709,8.2,252.59,59.34,68.53
10/12/2015,21:25:00,0:05:00,12/10/2015 21:25,"3,004.37",17.73,1.1709,8.18,252.62,59.35,68.54
10/12/2015,21:30:00,0:05:00,12/10/2015 21:30,"3,006.94",17.98,1.171,8.17,252.63,59.37,68.55
